"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000078018",2767.91578769476,1.11904129405456,0.208439556136762,5.36866089524935,7.93234063968853e-08,5.48512916574207e-06
"ENSG00000169218",736.121135452349,1.41659436179385,0.26429784146602,5.35984082933186,8.32953077910047e-08,5.63978646501594e-06
"ENSG00000162407",26207.2983834126,-1.0418865429937,0.195333402085312,-5.33388827446242,9.61316849359214e-08,6.37608114370907e-06
"ENSG00000092969",255.670630025475,-1.79524310016833,0.338329295016032,-5.30620057622636,1.1193378729751e-07,7.13303546503738e-06
"ENSG00000143196",1451.5785025266,1.27498933718887,0.240126227614159,5.30966296292113,1.09828143860709e-07,7.13303546503738e-06
"ENSG00000137962",4573.2383730191,1.06137110239384,0.200476749969905,5.29423537918072,1.19515413349635e-07,7.43187116269251e-06
"ENSG00000151690",1091.4663190336,1.18050082714085,0.223086134977086,5.29168174105534,1.21196668191601e-07,7.43187116269251e-06
"ENSG00000138356",5084.58434420587,1.09335226665953,0.206938065948451,5.28347581508707,1.26755604324714e-07,7.62880951954298e-06
"ENSG00000072163",822.530980373765,1.48816764902851,0.282172816864396,5.27395822732166,1.33512309262451e-07,7.75357088458079e-06
"ENSG00000162704",2806.36859548841,1.07303334031857,0.203463469988293,5.27383780675868,1.33599990626623e-07,7.75357088458079e-06
"ENSG00000143869",142.941113834257,2.12182033233004,0.405313272614148,5.23501320014747,1.64973073145563e-07,9.40635943373825e-06
"ENSG00000150938",13163.8544100513,1.17009941540563,0.224637946262078,5.20882350856482,1.90041772461824e-07,1.06488924224298e-05
"ENSG00000081052",219.195902895458,1.66146158880689,0.322839734676933,5.14639745466747,2.65536511172486e-07,1.46270112086539e-05
"ENSG00000116962",7909.19707474713,1.14882901253962,0.225645247776262,5.0913060384003,3.55605521093519e-07,1.92619657258989e-05
"ENSG00000162630",60.9578015295135,2.87477996855552,0.56821989035456,5.05927373778082,4.20856333000553e-07,2.24226734795377e-05
"ENSG00000183508",106.353316024327,-2.34461487156575,0.464757678121463,-5.04481148335755,4.53968730278756e-07,2.37967479581606e-05
"ENSG00000081320",1521.12365555916,1.2319706011379,0.247878754319331,4.97005322025625,6.69345266566022e-07,3.45297161323741e-05
"ENSG00000003402",3026.05288079555,1.01910953305752,0.208441616647778,4.88918455655428,1.0125453358837e-06,5.14183178378442e-05
"ENSG00000134253",146.01975898774,-1.78215579396981,0.367427739523278,-4.85035723291355,1.23239312608717e-06,6.16196563043586e-05
"ENSG00000188219",3776.89281468299,1.02824836681429,0.212389227696846,4.84133954421627,1.28966789174203e-06,6.3506373456994e-05
"ENSG00000049246",205.406036466654,-1.79969723051084,0.373421502391214,-4.81947937916385,1.43933328285182e-06,6.98184055114689e-05
"ENSG00000172954",1023.05207353039,1.12905335565327,0.234682981588236,4.81097243614474,1.50197731931189e-06,7.17856807024065e-05
"ENSG00000115993",5764.98527592237,0.974138992935664,0.203335713781386,4.7907914198634,1.66124750754896e-06,7.60430197117484e-05
"ENSG00000116584",2372.26290817707,-1.01133537791629,0.211085065483648,-4.79112710129005,1.6584702018453e-06,7.60430197117484e-05
"ENSG00000177674",794.676332391287,1.11326766852819,0.232190905710834,4.79462218866846,1.62981700316732e-06,7.60430197117484e-05
"ENSG00000138073",1733.25072402642,1.01806541501213,0.214807951525066,4.73942145895531,2.1432929104032e-06,9.67458605390334e-05
"ENSG00000171132",380.327772229756,-1.25693536830328,0.268769941356004,-4.67662180510869,2.9163940023105e-06,0.000129839459006974
"ENSG00000153214",1244.91237583127,1.01398624112259,0.217739172670095,4.65688478875099,3.21029975488448e-06,0.000140992894640197
"ENSG00000162545",6171.7772239514,0.914106692823156,0.197400424520237,4.63072303438458,3.64391031033618e-06,0.000157902780114568
